Model,Feature Selection,MSE,MAE,RMSE,RÂ²
Decision Tree,None,8865106.63704586,878.9589711982143,2977.4328937938903,0.982802305546475
Random Forest,None,5646696.31820022,857.9260631417154,2376.277828495696,0.9890457992297076
XGBoost,None,11730853.493850801,1962.9607789251106,3425.0333566041077,0.9772429466247559
Decision Tree,MI,38372030.8560664,3591.682249876925,6194.51619225153,0.9255609109690567
Random Forest,MI,34637319.51900287,3455.383906091645,5885.347867288973,0.9328059929603476
XGBoost,MI,26524799.24825432,3051.949122085669,5150.223223148131,0.9485437273979187
Decision Tree,SFS,25191417.400612928,3257.760353442322,5019.105239045394,0.9511303905249671
Decision Tree,SFS,25191417.400612928,3257.760353442322,5019.105239045394,0.9511303905249671
Decision Tree,SFS,25191417.400612928,3257.760353442322,5019.105239045394,0.9511303905249671
Decision Tree,SFS,25191417.400612928,3257.760353442322,5019.105239045394,0.9511303905249671
Random Forest,SFS,25182625.91223314,3259.3348077838477,5018.229360265745,0.9511474454050872
XGBoost,SFS,28421890.77721956,3504.7473441130937,5331.218507735315,0.944863498210907
